name|detail_url|address/street|address/city|address/state|address/zip|phone|email_link|website|description
Allegacy Federal Credit Union|//business.lakenormanchamber.org/directory/Details/allegacy-federal-credit-union-2365539|735 Sustainability Way|Davidson|NC|28036|(336) 529-0480|https://business.lakenormanchamber.org/directory/Contact/LWBBA4ZP|https://www.allegacy.org/|
Allstate Insurance Company|//business.lakenormanchamber.org/directory/Details/allstate-insurance-company-3317729|2775 Sanders Road|Northbrook|IL|60062|(704) 317-4558|https://business.lakenormanchamber.org/directory/Contact/Lm6MKgWr|https://agents.allstate.com/abraham-cannon-mooresville-nc.html|
Atrium Health|//business.lakenormanchamber.org/directory/Details/atrium-health-1573832|3600 Arco Corporate Drive Suite 400|Charlotte|NC|28273||https://business.lakenormanchamber.org/directory/Contact/pjKWd76P|http://www.atriumhealth.org/|
Home Trust Bank|//business.lakenormanchamber.org/directory/Details/home-trust-bank-1574174|17065 Nat Bynum Lane|Cornelius|NC|28031||https://business.lakenormanchamber.org/directory/Contact/pMw717jL|http://www.htb.com/|Full service financial institution with a boutique banking feel. Expert advice and personalized solutions to meet your individual and business needs.
Lake Norman Chamber of Commerce|//business.lakenormanchamber.org/directory/Details/lake-norman-chamber-of-commerce-1573904|19900 W Catawba Ave. Suite 101 P.O. Box 760|Cornelius|NC|28031|(704) 892.1922|https://business.lakenormanchamber.org/directory/Contact/LEqaaG0L|https://www.facebook.com/lakenormanchamberofcommerce|
Lowe's Companies, Inc.|//business.lakenormanchamber.org/directory/Details/lowe-s-companies-inc-1573937|Lowes Blvd|Mooresville|NC|28117|(704) 758-1000|https://business.lakenormanchamber.org/directory/Contact/rnvQ8YXr|http://www.lowes.com/|
REDLINE Property Partners|//business.lakenormanchamber.org/directory/Details/redline-property-partners-3049573|6101 Carnegie Boulevard Suite 455|Charlotte|NC|28209|(704) 900.5132|https://business.lakenormanchamber.org/directory/Contact/r4q4DaXp|https://redlinepropertypartners.com/contact-us/|
SEG Systems|//business.lakenormanchamber.org/directory/Details/seg-systems-3339327|10701 Hambright Road|Huntersville|NC|28078|(704) 579-5800|https://business.lakenormanchamber.org/directory/Contact/rJWRzEvp|https://segsystems.com/|
ServisFirst Bank|//business.lakenormanchamber.org/directory/Details/servisfirst-bank-2590410|14819 Ballantyne Village Way Panorama Towers Suite 1000|Charlotte|NC|28277||https://business.lakenormanchamber.org/directory/Contact/pMAlMjqp|http://www.servisfirstbank.com/|Business, Commercial, Entrepreneur and Executive Banking with expert advice and concierge service
K2 Scientific|//business.lakenormanchamber.org/directory/Details/k2-scientific-3430230|3029 Horseshoe Lane Suite D|Charlotte|NC|28208|800-218-7613 ext. 1001|https://business.lakenormanchamber.org/directory/Contact/rkVVOVKL|http://www.k2sci.com/|
Carolina BioOncology Institute, PLLC & BioCytics|//business.lakenormanchamber.org/directory/Details/carolina-biooncology-institute-pllc-biocytics-2925014|9801 Kincey Avenue Suite 145|Huntersville|NC|28078|704-947-6599|https://business.lakenormanchamber.org/directory/Contact/Lww31qOL|http://carolinabiooncology.org/|
Driftwood Yoga, Spa & Boutique|//business.lakenormanchamber.org/directory/Details/driftwood-yoga-spa-boutique-3493153|294 NC Hwy 16 Suite B|Denver|NC|28037|(704) 823-6450|https://business.lakenormanchamber.org/directory/Contact/rkVm29KL|http://www.driftwoodyogaspa.com/|
Duke Energy|//business.lakenormanchamber.org/directory/Details/duke-energy-1574045|6325 Wilkinson Boulevard|Charlotte|NC|28214|(980) 373-2288|https://business.lakenormanchamber.org/directory/Contact/rkgzbV6r|http://www.dukeenergy.com/|
Evolve Huntersville Apartments|//business.lakenormanchamber.org/directory/Details/evolve-huntersville-apartments-3318382|11010 Alexandriana Road|Hunterville|NC|28078|(980) 850-9502|https://business.lakenormanchamber.org/directory/Contact/Lbae0byP|https://www.liveevolvehuntersville.com/|
Floor Coverings International North Charlotte & Lake Norman|//business.lakenormanchamber.org/directory/Details/floor-coverings-international-north-charlotte-lake-norman-3442354|131 Crosslake Park Drive Unit 210|Mooresville|NC|28117|(704) 577-5141|https://business.lakenormanchamber.org/directory/Contact/p0ZGvgJL|http://northcharlottelkn.floorcoveringsinternational.com/|
